,season,start_date,home_team,home_conference,home_points,away_id,away_team,away_conference,away_points
0,1980,1980-09-06T00:00:00.000Z,Illinois,Big Ten,35,77,Northwestern,Big Ten,9
1,1980,1980-09-06T00:00:00.000Z,Notre Dame,FBS Independents,31,2509,Purdue,Big Ten,10
2,1980,1980-09-13T00:00:00.000Z,Illinois,Big Ten,20,127,Michigan State,Big Ten,17
3,1980,1980-09-13T00:00:00.000Z,Indiana,Big Ten,7,2294,Iowa,Big Ten,16
4,1980,1980-09-13T00:00:00.000Z,Michigan,Big Ten,17,77,Northwestern,Big Ten,10
5,1980,1980-09-13T00:00:00.000Z,Minnesota,Big Ten,38,195,Ohio,Mid-American,14
6,1980,1980-09-13T00:00:00.000Z,Ohio State,Big Ten,31,183,Syracuse,FBS Independents,21
7,1980,1980-09-13T00:00:00.000Z,Wisconsin,Big Ten,6,2509,Purdue,Big Ten,12
8,1980,1980-09-20T00:00:00.000Z,Wisconsin,Big Ten,3,252,BYU,Western Athletic,28
9,1980,1980-09-20T00:00:00.000Z,Kentucky,SEC,30,84,Indiana,Big Ten,36
10,1980,1980-09-20T00:00:00.000Z,Missouri,Big 8,52,356,Illinois,Big Ten,7
11,1980,1980-09-20T00:00:00.000Z,Nebraska,Big 8,57,2294,Iowa,Big Ten,0
12,1980,1980-09-20T00:00:00.000Z,Notre Dame,FBS Independents,29,130,Michigan,Big Ten,27
13,1980,1980-09-20T00:00:00.000Z,Ohio State,Big Ten,47,135,Minnesota,Big Ten,0
14,1980,1980-09-20T00:00:00.000Z,Oregon,Pac-10,35,127,Michigan State,Big Ten,7
15,1980,1980-09-20T00:00:00.000Z,Purdue,Big Ten,14,26,UCLA,Pac-10,23
16,1980,1980-09-20T00:00:00.000Z,Washington,Pac-10,45,77,Northwestern,Big Ten,7
17,1980,1980-09-27T00:00:00.000Z,Air Force,Western Athletic,20,356,Illinois,Big Ten,20
18,1980,1980-09-27T00:00:00.000Z,Colorado,Big 8,7,84,Indiana,Big Ten,49
19,1980,1980-09-27T00:00:00.000Z,Iowa,Big Ten,7,66,Iowa State,Big 8,10
20,1980,1980-09-27T00:00:00.000Z,Michigan State,Big Ten,33,2711,Western Michigan,Mid-American,7
21,1980,1980-09-27T00:00:00.000Z,Ohio State,Big Ten,38,9,Arizona State,Pac-10,21
22,1980,1980-09-27T00:00:00.000Z,Michigan,Big Ten,14,2579,South Carolina,FBS Independents,17
23,1980,1980-09-27T00:00:00.000Z,Minnesota,Big Ten,7,30,USC,Pac-10,24
24,1980,1980-09-27T00:00:00.000Z,Syracuse,FBS Independents,42,77,Northwestern,Big Ten,21
25,1980,1980-09-27T00:00:00.000Z,UCLA,Pac-10,35,275,Wisconsin,Big Ten,0
26,1980,1980-10-04T00:00:00.000Z,Iowa,Big Ten,3,12,Arizona,Pac-10,5
27,1980,1980-10-04T00:00:00.000Z,Indiana,Big Ten,31,150,Duke,ACC,21
28,1980,1980-10-04T00:00:00.000Z,Michigan,Big Ten,38,25,California,Pac-10,13
29,1980,1980-10-04T00:00:00.000Z,Northwestern,Big Ten,21,135,Minnesota,Big Ten,49
30,1980,1980-10-04T00:00:00.000Z,Illinois,Big Ten,21,344,Mississippi State,SEC,28
31,1980,1980-10-04T00:00:00.000Z,Michigan State,Big Ten,21,87,Notre Dame,FBS Independents,26
32,1980,1980-10-04T00:00:00.000Z,Purdue,Big Ten,28,193,Miami (OH),Mid-American,3
33,1980,1980-10-04T00:00:00.000Z,Ohio State,Big Ten,0,26,UCLA,Pac-10,17
34,1980,1980-10-04T00:00:00.000Z,Wisconsin,Big Ten,35,21,San Diego State,Western Athletic,12
35,1980,1980-10-11T00:00:00.000Z,Iowa,Big Ten,14,356,Illinois,Big Ten,20
36,1980,1980-10-11T00:00:00.000Z,Indiana,Big Ten,24,275,Wisconsin,Big Ten,0
